restaurant_00000000	0	hi , i want to make a restaurant reservation .		none	none	none	none	none	none	none	none	none
restaurant_00000000	1	the sushi boat for 6 .	okay , where do you want to go , and how many people will there be ?	none	none	none	none	6	none	none	sushi boat	none
restaurant_00000000	2	this friday .	for what date ?	none	friday	none	none	6	none	none	sushi boat	none
restaurant_00000000	3	7 pm .	at what time ?	none	friday	none	none	6	none	none	sushi boat	7 pm
restaurant_00000000	4	that ' s right .	so you want a reservation for the sushi boat for this friday at 7 pm for 6 people ?	none	friday	none	none	6	none	none	sushi boat	7 pm
restaurant_00000000	5	thanks !	alright . your reservation is confirmed for 6 people at the sushi boat friday at 7 pm .	none	friday	none	none	6	none	none	sushi boat	7 pm
restaurant_00000002	0	i need to make reservation for 6 pm .		none	none	none	none	none	none	none	none	6 pm
restaurant_00000002	1	next monday at il fornaio .	what date and restaurant would you like ?	none	next monday	none	none	none	none	none	il fornaio	6 pm
restaurant_00000002	2	what ?	for how many people do you need the reservation ?	none	next monday	none	none	none	none	none	il fornaio	6 pm
restaurant_00000002	3	6 people .	how many people will be dining ?	none	next monday	none	none	6	none	none	il fornaio	6 pm
restaurant_00000002	4	no .	6 pm is unavailable . would you like 6.15 pm or 6.30 pm ?	none	next monday	none	none	6	none	none	il fornaio	6 pm
restaurant_00000002	5	yes . 8 pm please .	would you like 7 pm or 8 pm ?	none	next monday	none	none	6	none	none	il fornaio	8 pm
restaurant_00000002	6	bye .	your reservation is confirmed for 6 people at il fornaio next monday at 8 pm .	none	next monday	none	none	6	none	none	il fornaio	8 pm
restaurant_00000003	0	hi , i want to make a reservation for 6 pm .		none	none	none	none	none	none	none	none	6 pm
restaurant_00000003	1	6 people on friday for sushi boat .	for what date , what restaurant and how many people ?	none	friday	none	none	6	none	none	sushi boat	6 pm
restaurant_00000003	2	6.30 pm is fine .	they couldn ' t reserve a table for you at 6 pm , but do 6.15 pm or 6.30 pm work ?	none	friday	none	none	6	none	none	sushi boat	6.30 pm
restaurant_00000003	3	bye !	great ! i ' ve booked a reservation for 6 people at sushi boat on friday at 6.30 pm .	none	friday	none	none	6	none	none	sushi boat	6.30 pm
restaurant_00000007	0	hi ! can you book me a restaurant reservation ?		none	none	none	none	none	none	none	none	none
restaurant_00000007	1	5	for how many people ?	none	none	none	none	5	none	none	none	none
restaurant_00000007	2	correct	please confirm number of people is 5	none	none	none	none	5	none	none	none	none
restaurant_00000007	3	date is wednesday at the sushi boat	what is the restaurant and for what day ?	none	wednesday	none	none	5	none	none	sushi boat	none
restaurant_00000007	4	7.15 pm	what time ?	none	wednesday	none	none	5	none	none	sushi boat	7.15 pm
restaurant_00000007	5	right	confirm time is 7.15 pm	none	wednesday	none	none	5	none	none	sushi boat	7.15 pm
restaurant_00000007	6	agree	7.15 pm reservation not available however 6.15 pm is available	none	wednesday	none	none	5	none	none	sushi boat	6.15 pm
restaurant_00000007	7	thanks cya	reservation confirmed for wednesday at 6.15 pm at sushi boat for 5 people	none	wednesday	none	none	5	none	none	sushi boat	6.15 pm
restaurant_00000011	0	make a restaurant reservation		none	none	none	none	none	none	none	none	none
restaurant_00000011	1	8 pm tonight	for what time ?	none	tonight	none	none	none	none	none	none	8 pm
restaurant_00000011	2	5 at sakoon	for what restaurant and for how many ?	none	tonight	none	none	5	none	none	sakoon	8 pm
restaurant_00000011	3	no	there are none available for 8 pm , but there is one at 6.15 pm . would you like 6.15 pm instead ?	none	tonight	none	none	5	none	none	sakoon	8 pm
restaurant_00000011	4	what about at sumiko ?	i ' m sorry , but i cannot make a reservation for 5 at sakoon tonight .	none	tonight	none	none	5	none	none	sumiko	8 pm
restaurant_00000011	5	ok , never mind . bye !	sorry , there are no reservations available for 5 people at sumiko tonight .	none	tonight	none	none	5	none	none	sumiko	8 pm
restaurant_00000015	0	hi i want to make a dinner reservation		none	none	none	none	none	none	none	none	none
restaurant_00000015	1	3 at cascal	how many and at which restaurant	none	none	none	none	3	none	none	cascal	none
restaurant_00000015	2	next monday	on what date	none	next monday	none	none	3	none	none	cascal	none
restaurant_00000015	3	7 pm	what time	none	next monday	none	none	3	none	none	cascal	7 pm
restaurant_00000015	4	7.15 pm is ok	that time is not available , there is 6.30 pm , 7.15 pm , or 8 pm	none	next monday	none	none	3	none	none	cascal	7.15 pm
restaurant_00000015	5	thanks , goodbye	confirmed for next monday at 7.15 pm at cascal for 3 people	none	next monday	none	none	3	none	none	cascal	7.15 pm
restaurant_00000021	0	find restaurant that serves breakfast		none	none	none	breakfast	none	none	none	none	none
restaurant_00000021	1	for the morristown area	please provide the desired area	none	none	morristown	breakfast	none	none	none	none	none
restaurant_00000021	2	i choose cascal	your choices are .ink , cascal , or sweet greens	none	none	morristown	breakfast	none	none	none	cascal	none
restaurant_00000024	0	i want to set a reservation		none	none	none	none	none	none	none	none	none
restaurant_00000024	1	tomorrow at 7.15 pm . there will be 3 people	for what date and time ? how many people ?	none	tomorrow	none	none	3	none	none	none	7.15 pm
restaurant_00000024	2	yes	is 7.15 pm for 3 people correct ?	none	tomorrow	none	none	3	none	none	none	7.15 pm
restaurant_00000024	3	sakoon	what restaurant ?	none	tomorrow	none	none	3	none	none	sakoon	7.15 pm
restaurant_00000024	4	yes	is sakoon correct ?	none	tomorrow	none	none	3	none	none	sakoon	7.15 pm
restaurant_00000024	5	yep	do you want a reservation set for 7.15 pm tomorrow at sakoon , for 3 people ?	none	tomorrow	none	none	3	none	none	sakoon	7.15 pm
restaurant_00000024	6	thanks	alright . your reservation is confirmed for tomorrow , 7.15 pm at sakoon for 3 people	none	tomorrow	none	none	3	none	none	sakoon	7.15 pm
restaurant_00000029	0	i would like to make a restaurant reservation for tomorrow		none	tomorrow	none	none	none	none	none	none	none
restaurant_00000029	1	2 people and anytime is good	how many people and what time	none	tomorrow	none	none	2	none	none	none	dontcare
restaurant_00000029	2	yes 2 people and anytime	confirm 2 people at any time	none	tomorrow	none	none	2	none	none	none	dontcare
restaurant_00000029	3	amarin	which restaurant would you like	none	tomorrow	none	none	2	none	none	amarin	dontcare
restaurant_00000029	4	yes	is 6.15 pm ok	none	tomorrow	none	none	2	none	none	amarin	6.15 pm
restaurant_00000029	5	goodbye .	i ' ve reserved your table at amarin for 2 people at 6.15 pm	none	tomorrow	none	none	2	none	none	amarin	6.15 pm
restaurant_00000030	0	hi , please get me a restaurant reservation		none	none	none	none	none	none	none	none	none
restaurant_00000030	1	8 pm tomorrow for 2	sure , what day and time and how many people	none	tomorrow	none	none	2	none	none	none	8 pm
restaurant_00000030	2	cheese cake factory	which restaurant	none	tomorrow	none	none	2	none	none	cheese cake factory	8 pm
restaurant_00000030	3	no	they don ' t have a table at 8 pm , how about 5 pm or 6.30 pm	none	tomorrow	none	none	2	none	none	cheese cake factory	8 pm
restaurant_00000030	4	how about at amarin	cheese cake factory isn ' t going to work	none	tomorrow	none	none	2	none	none	amarin	8 pm
restaurant_00000030	5	yes , at amarin at 8 pm tomorrow for 2	so you would like a reservation at amarin at 8 pm tomorrow for 2 ?	none	tomorrow	none	none	2	none	none	amarin	8 pm
restaurant_00000030	6	bye !	i ' ve confirmed your reservation at amarin for tomorrow at 8 pm for 2 people	none	tomorrow	none	none	2	none	none	amarin	8 pm
restaurant_00000031	0	hello ! please reserve a restaurant for tomorrow at 7.15 pm		none	tomorrow	none	none	none	none	none	none	7.15 pm
restaurant_00000031	1	2 people please	no problem . how many people ?	none	tomorrow	none	none	2	none	none	none	7.15 pm
restaurant_00000031	2	the name is los altos grill .	please tell me the name of the restaurant too .	none	tomorrow	none	none	2	none	none	los altos grill	7.15 pm
restaurant_00000031	3	no problem . thanks . see you later .	i was unable to get a reservation for 2 people at 7 : 15 pm for los altos grill . sorry !	none	tomorrow	none	none	2	none	none	los altos grill	7.15 pm
restaurant_00000033	0	hi . i ' d like to make a restaurant reservation .		none	none	none	none	none	none	none	none	none
restaurant_00000033	1	4 people at 7.15 pm .	at what time and for how many people ?	none	none	none	none	4	none	none	none	7.15 pm
restaurant_00000033	2	yes . that ' s correct .	please confirm that you ' d like to make a reservation for 7.15 pm .	none	none	none	none	4	none	none	none	7.15 pm
restaurant_00000033	3	sakoon .	which restaurant would you like to go to ?	none	none	none	none	4	none	none	sakoon	7.15 pm
restaurant_00000033	4	friday .	on which date ?	none	friday	none	none	4	none	none	sakoon	7.15 pm
restaurant_00000033	5	that ' s correct .	please confirm that you ' d like to make a reservation at sakoon for 4 people on friday at 7.15 pm .	none	friday	none	none	4	none	none	sakoon	7.15 pm
restaurant_00000033	6	goodbye .	your reservation is confirmed for 4 people at sakoon on friday at 7.15 pm .	none	friday	none	none	4	none	none	sakoon	7.15 pm
restaurant_00000035	0	hi i want to make a reservation next monday at 5.30 pm for 3 people		none	next monday	none	none	3	none	none	none	5.30 pm
restaurant_00000035	1	yes	is next monday at 5.30 pm for 3 people correct ?	none	next monday	none	none	3	none	none	none	5.30 pm
restaurant_00000035	2	pompei	what restaurant would you like ?	none	next monday	none	none	3	none	none	pompei	5.30 pm
restaurant_00000035	3	yes	is pompei correct ?	none	next monday	none	none	3	none	none	pompei	5.30 pm
restaurant_00000035	4	no	5.30 pm is not available . would 7 pm or 7.30 pm be okay ?	none	next monday	none	none	3	none	none	pompei	5.30 pm
restaurant_00000035	5	what about at cetrella ?	the reservation could not be made	none	next monday	none	none	3	none	none	cetrella	5.30 pm
restaurant_00000035	6	no	5.30 pm is not available . would 6.30 pm be okay ?	none	next monday	none	none	3	none	none	cetrella	5.30 pm
restaurant_00000035	7	what about at oren hummus	unfortunately , i can ' t find a slot that fits your preferences .	none	next monday	none	none	3	none	none	oren hummus	5.30 pm
restaurant_00000035	8	no	5.30 pm is not available . would 6.15 pm or 7 pm be okay ?	none	next monday	none	none	3	none	none	oren hummus	5.30 pm
restaurant_00000035	9	what if i change the date to wednesday	sorry , i can ' t make a reservation that fits your criteria	none	wednesday	none	none	3	none	none	oren hummus	5.30 pm
restaurant_00000035	10	yes	is wednesday correct ?	none	wednesday	none	none	3	none	none	oren hummus	5.30 pm
restaurant_00000035	11	no	5.30 pm is not available . would 6 pm or 6.15 pm be okay ?	none	wednesday	none	none	3	none	none	oren hummus	5.30 pm
restaurant_00000035	12	no	how about 6.30 pm or 8 pm ?	none	wednesday	none	none	3	none	none	oren hummus	5.30 pm
restaurant_00000035	13	what about at ephesus	sorry , i was unable to make your reservation	none	wednesday	none	none	3	none	none	ephesus	5.30 pm
restaurant_00000035	14	no	5.30 pm is not available . would 5 pm or 6.15 pm be okay ?	none	wednesday	none	none	3	none	none	ephesus	5.30 pm
restaurant_00000037	0	i need a reservation for next monday at 7.15 pm .		none	next monday	none	none	none	none	none	none	7.15 pm
restaurant_00000037	1	yes .	okay . are you sure you want a reservation for next monday at 7.15 pm ?	none	next monday	none	none	none	none	none	none	7.15 pm
restaurant_00000037	2	the giants ' schedule	what restaurant ?	none	next monday	none	none	none	none	none	none	7.15 pm
restaurant_00000037	3	the restaurant is sakoon , and there will be 2 of us .	i need to know the name of the restaurant for your reservation .	none	next monday	none	none	2	none	none	sakoon	7.15 pm
restaurant_00000037	4	sorry , no .	7.15 pm is unavailable . how does 7.30 pm work ?	none	next monday	none	none	2	none	none	sakoon	7.15 pm
restaurant_00000037	5	thanks .	your reservation could not be made .	none	next monday	none	none	2	none	none	sakoon	7.15 pm
restaurant_00000041	0	can you make a dinner reservation for wednesday at 6 pm ?		none	wednesday	none	none	none	none	none	none	6 pm
restaurant_00000041	1	for 3 at pompei .	sure . for how many and what restaurant ?	none	wednesday	none	none	3	none	none	pompei	6 pm
restaurant_00000041	2	yes , that ' s right .	reservations for 3 at pompei at 6 pm on wednesday . is that right ?	none	wednesday	none	none	3	none	none	pompei	6 pm
restaurant_00000041	3	bye .	you are all set .	none	wednesday	none	none	3	none	none	pompei	6 pm
restaurant_00000045	0	i need a restaurant reservation for 7.30 pm		none	none	none	none	none	none	none	none	7.30 pm
restaurant_00000045	1	it is for next monday , 3 people and the restaurant in oren hummus .	what is the date , number of people and restaurant name ?	none	next monday	none	none	3	none	none	oren hummus	7.30 pm
restaurant_00000045	2	i don ' t undersand	the reservation cannot be made .	none	next monday	none	none	3	none	none	oren hummus	7.30 pm
restaurant_00000045	3	bye .	the reservation cannot be made for that restaurant next monday for 3 people .	none	next monday	none	none	3	none	none	oren hummus	7.30 pm
restaurant_00000047	0	hi can you find a restaurant in redmond ?		none	none	redmond	none	none	none	none	none	none
restaurant_00000047	1	a moderately priced amount	how much do you want to spend	none	none	redmond	none	none	moderately priced	none	none	none
