movies_00000004	0	i would like to buy movie tickets for 6:00 pm		none	none	none	none	6:00 pm
movies_00000004	1	i need 3 tickets for the movie called a man called ove	which movie , and how many tickets do you need ?	none	a man called ove	3	none	6:00 pm
movies_00000004	2	the date is this wednesday at the camera 7	which date and which movie theater would you like ?	wednesday	a man called ove	3	camera 7	6:00 pm
movies_00000004	3	yes that ' s correct .	please confirm that the time is 6:00 pm	wednesday	a man called ove	3	camera 7	6:00 pm
movies_00000004	4	thank you .	purchase is confirmed for march 08 at 6:00 pm to see a man called ove at camera 7	wednesday	a man called ove	3	camera 7	6:00 pm
movies_00000005	0	please purchase 3 movie tickets for a man called ove for 6:00 pm .		none	a man called ove	3	none	6:00 pm
movies_00000005	1	wednesday and the theater is amc cupertino square 16	what is the name of the theater , and what day would you like to go ?	wednesday	a man called ove	3	amc cupertino square 16	6:00 pm
movies_00000005	2	yes	you want the tickets for 6:00 pm correct ?	wednesday	a man called ove	3	amc cupertino square 16	6:00 pm
movies_00000005	3	bye .	3 tickets for a man called ove at amc cupertino square 16 at 6:00 pm on march 08 have been purchased .	wednesday	a man called ove	3	amc cupertino square 16	6:00 pm
movies_00000008	0	would you purchase 5 movie tickets		none	none	5	none	none
movies_00000008	1	for cinelux almaden cafe & lounge for a man called ove at 10:00 pm	which theater and which movie and for what time	none	a man called ove	5	cinelux almaden cafe & lounge	10:00 pm
movies_00000008	2	i would like this for tuesday	which date to you want	tuesday	a man called ove	5	cinelux almaden cafe & lounge	10:00 pm
movies_00000008	3	yes 10:00 pm is correct	and the time you want is 10:00 pm , correct	tuesday	a man called ove	5	cinelux almaden cafe & lounge	10:00 pm
movies_00000008	4	thanks , bye	purchase confirmed for 10:00 pm for a man called ove march 07 at cinelux almaden cafe & lounge	tuesday	a man called ove	5	cinelux almaden cafe & lounge	10:00 pm
movies_00000009	0	please buy movie tickets for the camera 7 theater at 6:00 pm		none	none	none	camera 7	6:00 pm
movies_00000009	1	i ' m sorry i don ' t understand .	sure . which movie would you like to see , and how many tickets should i buy and for which date ?	none	none	none	camera 7	6:00 pm
movies_00000009	2	2 tickets for a man called ove , on wednesday .	what movie , what date and how many tickets would you like ?	wednesday	a man called ove	2	camera 7	6:00 pm
movies_00000009	3	yes	and you would like to see this at 6:00 pm ?	wednesday	a man called ove	2	camera 7	6:00 pm
movies_00000009	4	thanks . goodbye .	ok . i have purchased 2 tickets for a man called ove for march 08 at 6:00 pm .	wednesday	a man called ove	2	camera 7	6:00 pm
movies_00000016	0	could you please buy movie tickets for a man called ove		none	a man called ove	none	none	none
movies_00000016	1	i ' d like tickets for wednesday at 6:00 pm at the amc saratoga 14 movie theater .	do you have a preference of movie theater , time and day ?	wednesday	a man called ove	none	amc saratoga 14	6:00 pm
movies_00000016	2	i need 3 tickets .	how many tickets would you like ?	wednesday	a man called ove	3	amc saratoga 14	6:00 pm
movies_00000016	3	yes , that is correct , 6:00 pm is the time i would like .	just to confirm the time , 6:00 pm ?	wednesday	a man called ove	3	amc saratoga 14	6:00 pm
movies_00000016	4	bye .	this is a confirmation of tickets purchased for a man called ove for 3 people at 6:00 pm on march 08 at the amc saratoga 14 movie theater .	wednesday	a man called ove	3	amc saratoga 14	6:00 pm
